name,slug,gender,higher_than_MA,Masters,Undergrad,Pipeline,Position_Title,Time_Served
"jordyn-short-6039baa3/",F,NA,"University of Tampa - John H. Sykes College of Business",University of Maryland University College
"chris-mizelle/",M,University of Virginia,NA,Dickinson College
"royce-zant-8143928b/",M,NA,American Military University,New Mexico State University
"mike-hayes-733688/",M,NA,Harvard University Kennedy School of Government,College of the Holy Cross
"chris-johnstone-28601935/",M,NA,Princeton Univeristy,Swarthmore College
"michael-leahy-96377ba6/",M,NA,NA,Michigan State University
"hanselrodriguez/",M,NA,University of North Carolina at Chapel Hill,NA
"emily-horne-23b950a/",F,NA,The George Washington University,The George Washington University
"briangugliotta/",M,NA,NA,Williams College
"annaliese-yoder-3924b323/",F,NA,NA,Radford University
"pblatstein/",M,NA,American University,American University
"brett-holmgren-919393124/",M,NA,The Johns Hopkins University,"University of Wisconsin-Madison"
"christopher-stanley-0a02b3a3/",M,NA,NA,University of Maryland College Park
"lisa-palluconi-3596b54/",F,Harvard Law School,Harvard University Kennedy School of Government,The University of Tulsa
"sonali-korde-6352306/",F,NA,Yale University,New York University
"jeffrey-gelman-6a508160/",M,NA,The George Washington University,"University of Wisconsin-Madison"
"neeta-b-39b4841/",F,NA,NA,James Madison University
"nick-shapiro-048b5a2/",M,NA,NA,Tulane University
"samuel-callaghan-3a557735/",M,NA,NA,George Mason University
"susandavidsonsuarez/",F,NA,University of North Carolina at Chapel Hill,"William & Mary"
"deniz-bilgesu-32090091/",F,NA,American University,West Virginia University
"linda-etim-99a491132/",F,NA,NA,"University of Wisconsin-Madison"
"greg-gatjanis/",M,NA,"American University School of International Service",The University of Texas at Dallas
"timothy-van-name-2a95652b/",M,NA,The University of Chicago,"University of California, Irvine"
"chrishunt5/",M,NA,NA,NA
"lawrence-zelvin-87258010/",M,NA,Defense Intelligence College,Boston University
"jasongalui/",M,NA,The University of Texas at Austin,United States Military Academy at West Point
"russell-collin-lee/",M,NA,"The Johns Hopkins University - Carey Business School",James Madison University
"chirag-parikh-b2009138/",M,NA,NA,University of Cincinnati
"will-hudson-30678099/",M,Georgetown University Law Center,NA,Stanford University
"ben-chang-90a6214b/",M,NA,NA,Georgetown University 
"scott-duncan-37628a14/",M,NA,Princeton University,Dartmouth College
"nitinkchadda/",M,NA,NA,Cornell University                  
"brian-mckeon-395178130/",M,Georgetown University Law Center,NA,University of Notre Dame
"samircjain/",M,Harvard Law School,NA,Stanford University
"eric-ciaramella-132591138/",M,NA,Harvard University,Yale University
"mileydi-guilarte-49406170/"F,NA,American University,University of Florida
"mark-abdoo-8878b224/",M,NA,Brown University,College of the Holy Cross
"william-lietzau/",M,Yale Law School,National Defense University,United States Naval Academy
"mirranda-haan-222667103/",F,NA,NA,University of Maryland University College
"erin-m-logan-484a18138/",F,NA,"Columbia University - School of International and Public Affairs",Princeton University
"elykahn/",M,NA,"University of Pennsylvania - The Wharton School",Harvard University
"peter-kaldes-9730925/",M,University of Pittsburgh School of Law,NA,Tufts University
"dianna-h-english-15b50b3/",F,NA,Yale University,Northwestern University
"adam-scheinman-8a6047138/",M,NA,The George Washington University,Cornell University
"catherine-byrne-50853013/",F,NA,NA,George Mason University
"cecilia-franceski-b35b81b/",F,"The Catholic University of America, Columbus School of Law",NA,College of the Holy Cross     
"andrewcscott/",M,NA,Georgetown University,University of Michigan
"william-tuttle-26ba95122/",M,NA,Georgetown University,Vanderbilt University
"ian-moss-84403a156/",M,The George Washington University Law School,Northeastern University,The University of Texas at San Antonio
"sean-misko-b7956010/",M,NA,Harvard Kennedy School of Government,Penn State University      
"christopher-munn-baa02653/",M,NA,The Johns Hopkins University,University of Southern California
"pramamurthy1/",M,NA,University of Chicago,Georgetown University
"alice-e-cosgrove/",F,NA,"The London School of Economics and Political Science (LSE)",Fordham University
"madeleine-khamnei-409694156/",F,NA,NA,"University of California, Berkeley"
"jennifer-marron-3036544/",F,NA,"Tufts University - The Fletcher School of Law and Diplomacy",Duke University
"jsteinlicht/",M,NA,NA,Community College of the Air Force
"brian-j-a853b8141/",M,NA,"King's College London",Indiana University Bloomington
"molly-phee-770271163/",F,NA,"Tufts University - The Fletcher School of Law and Diplomacy",Indiana University Bloomington
"william-schlickenmaier-a7869b15/",M,Georgetown University,"Columbia University - School of International and Public Affairs",Georgetown University
"rory-macfarquhar-7aabb68/",M,NA,NA,NA
"olivia-woods-6325663a/",F,NA,Georgetown University,"Trinity University-Washington"
"peter-marquez-55756740/",M,NA,The George Washington University,NA
"james-massot-593025a3/",M,NA,New York University,United States Air Force Academy
"justin-hattan-bb29213/",M,University of Iowa College of Law,Texas A&M University,Iowa State University
"michael-jolicoeur-3a7ba018/",M,NA,University of Maryland University College,Radford University
"matthew-hoppler/",M,NA,Johns Hopkins University,Providence College
"jay-wise-40209a136/",M,NA,Georgetown University,University of Chicago
"robert-miller-aa95304/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",NA
"eric-panketh-2b46469b/",M,NA,"The University of Texas at Austin - The LBJ School of Public Affairs",The University of Texas at Austin
"taraleweling/",F,Naval Postgraduate School,Troy State University,University of Michigan
"julie-schafer-08042b6/",F,The George Washington University,Columbia University Mailman School of Public Health,NA
